PASSENGERS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,YEAR,QUARTER,MONTH,COVID_PERIOD,DATE
0.0,150.0,5X,United Parcel Service,14122,PIT,"Pittsburgh, PA",PA,12917,LCK,"Columbus, OH",OH,2018,1,2,Before Covid,2018-02-01
0.0,150.0,5X,United Parcel Service,14122,PIT,"Pittsburgh, PA",PA,12917,LCK,"Columbus, OH",OH,2018,1,3,Before Covid,2018-03-01
0.0,150.0,5X,United Parcel Service,14122,PIT,"Pittsburgh, PA",PA,12917,LCK,"Columbus, OH",OH,2018,2,4,Before Covid,2018-04-01
0.0,155.0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11066,CMH,"Columbus, OH",OH,11433,DTW,"Detroit, MI",MI,2018,1,2,Before Covid,2018-02-01
0.0,155.0,GL,Miami Air International,11066,CMH,"Columbus, OH",OH,11433,DTW,"Detroit, MI",MI,2018,1,2,Before Covid,2018-02-01
0.0,155.0,WN,Southwest Airlines Co.,11066,CMH,"Columbus, OH",OH,11433,DTW,"Detroit, MI",MI,2018,4,12,Before Covid,2018-12-01
0.0,158.0,AMQ,Ameristar Air Cargo,11066,CMH,"Columbus, OH",OH,16091,YIP,"Detroit, MI",MI,2018,1,1,Before Covid,2018-01-01
0.0,158.0,AMQ,Ameristar Air Cargo,11066,CMH,"Columbus, OH",OH,16091,YIP,"Detroit, MI",MI,2018,1,3,Before Covid,2018-03-01
0.0,158.0,AMQ,Ameristar Air Cargo,11066,CMH,"Columbus, OH",OH,16091,YIP,"Detroit, MI",MI,2018,4,10,Before Covid,2018-10-01
0.0,158.0,AMQ,Ameristar Air Cargo,16091,YIP,"Detroit, MI",MI,11066,CMH,"Columbus, OH",OH,2018,1,1,Before Covid,2018-01-01
0.0,158.0,AMQ,Ameristar Air Cargo,16091,YIP,"Detroit, MI",MI,11066,CMH,"Columbus, OH",OH,2018,1,3,Before Covid,2018-03-01
0.0,158.0,AMQ,Ameristar Air Cargo,16091,YIP,"Detroit, MI",MI,11066,CMH,"Columbus, OH",OH,2018,2,6,Before Covid,2018-06-01
0.0,158.0,U7,USA Jet Airlines Inc.,11066,CMH,"Columbus, OH",OH,16091,YIP,"Detroit, MI",MI,2018,3,7,Before Covid,2018-07-01
0.0,158.0,U7,USA Jet Airlines Inc.,16091,YIP,"Detroit, MI",MI,11066,CMH,"Columbus, OH",OH,2018,3,7,Before Covid,2018-07-01
0.0,164.0,GL,Miami Air International,11066,CMH,"Columbus, OH",OH,12945,LEX,"Lexington, KY",KY,2018,1,2,Before Covid,2018-02-01
0.0,167.0,FX,Federal Express Corporation,11433,DTW,"Detroit, MI",MI,12917,LCK,"Columbus, OH",OH,2018,1,1,Before Covid,2018-01-01
0.0,167.0,FX,Federal Express Corporation,11433,DTW,"Detroit, MI",MI,12917,LCK,"Columbus, OH",OH,2018,1,2,Before Covid,2018-02-01
0.0,167.0,FX,Federal Express Corporation,11433,DTW,"Detroit, MI",MI,12917,LCK,"Columbus, OH",OH,2018,1,3,Before Covid,2018-03-01
0.0,167.0,FX,Federal Express Corporation,11433,DTW,"Detroit, MI",MI,12917,LCK,"Columbus, OH",OH,2018,2,4,Before Covid,2018-04-01
