TimeKey,CarrierKey,OriginKey,DestKey,PASSENGERS,DISTANCE
2018-06-01,99,14730,12917,0.0,189.0
2018-07-01,99,14730,12917,0.0,189.0
2018-08-01,99,14730,12917,0.0,189.0
2018-09-01,99,14730,12917,0.0,189.0
2018-10-01,99,14730,12917,0.0,189.0
2018-11-01,99,14730,12917,0.0,189.0
2018-12-01,99,14730,12917,0.0,189.0
2018-02-01,11,14730,12917,0.0,189.0
2018-02-01,91,11066,12884,0.0,211.0
2018-01-01,99,12884,12917,0.0,222.0
2018-02-01,99,12884,12917,0.0,222.0
2018-03-01,99,12884,12917,0.0,222.0
2018-04-01,99,12884,12917,0.0,222.0
2018-05-01,99,12884,12917,0.0,222.0
2018-06-01,99,12884,12917,0.0,222.0
2018-07-01,99,12884,12917,0.0,222.0
2018-08-01,99,12884,12917,0.0,222.0
2018-09-01,99,12884,12917,0.0,222.0
2018-10-01,99,12884,12917,0.0,222.0
2018-11-01,99,12884,12917,0.0,222.0
2018-12-01,99,12884,12917,0.0,222.0
2018-02-01,91,12917,14711,0.0,278.0
2018-11-01,11,15412,12917,0.0,282.0
2018-02-01,162,11066,13232,0.0,283.0
2018-10-01,87,11066,11612,0.0,284.0
2018-02-01,85,10792,11066,0.0,296.0
2018-11-01,85,11066,13930,0.0,296.0
2018-01-01,60,11066,10792,0.0,296.0
2018-04-01,87,11066,10792,0.0,296.0
2018-04-01,67,10792,11066,0.0,296.0
2018-06-01,67,10792,11066,0.0,296.0
2018-02-01,91,11066,12264,0.0,299.0
2018-12-01,91,11066,12264,0.0,299.0
2018-07-01,10,11066,12264,0.0,299.0
2018-11-01,10,11066,12264,0.0,299.0
2018-01-01,99,12917,13930,0.0,300.0
2018-02-01,99,12917,13930,0.0,300.0
2018-03-01,99,12917,13930,0.0,300.0
2018-04-01,99,12917,13930,0.0,300.0
2018-05-01,99,12917,13930,0.0,300.0
2018-06-01,99,12917,13930,0.0,300.0
2018-07-01,99,12917,13930,0.0,300.0
2018-08-01,99,12917,13930,0.0,300.0
2018-09-01,99,12917,13930,0.0,300.0
2018-10-01,99,12917,13930,0.0,300.0
2018-11-01,99,12917,13930,0.0,300.0
2018-10-01,11,13930,12917,0.0,300.0
2018-11-01,11,13930,12917,0.0,300.0
2018-12-01,11,13930,12917,0.0,300.0
