DestKey,DEST,DEST_CITY_NAME,DEST_STATE_ABR
15380,TVC,"Traverse City, MI",MI
12124,HHH,"Hilton Head, SC",SC
13453,MQJ,"Indianapolis, IN",IN
14574,ROA,"Roanoke, VA",VA
11376,DPA,"Chicago, IL",IL
13418,MNZ,"Manassas, VA",VA
13543,MWA,"Marion/Herrin, IL",IL
15043,SUS,"St. Louis, MO",MO
14050,PDK,"Atlanta, GA",GA
10785,BTV,"Burlington, VT",VT
10562,BFM,"Mobile, AL",AL
11775,FSD,"Sioux Falls, SD",SD
14877,SLN,"Salina, KS",KS
13655,NEW,"New Orleans, LA",LA
11789,FTW,"Dallas/Fort Worth, TX",TX
10519,BCT,"Boca Raton, FL",FL
11982,GRK,"Killeen, TX",TX
10372,ASE,"Aspen, CO",CO
10615,BIF,"El Paso, TX",TX
14712,SCF,"Phoenix, AZ",AZ
13785,NYL,"Yuma, AZ",AZ
12211,HSH,"Las Vegas, NV",NV
13044,LOU,"Louisville, KY",KY
14892,SME,"Somerset, KY",KY
12494,JHW,"Jamestown, NY",NY
12916,LCI,"Laconia, NH",NH
15260,TMB,"Miami, FL",FL
15356,TTN,"Trenton, NJ",NJ
10670,BLM,"Belmar/Farmingdale, NJ",NJ
15023,STS,"Santa Rosa, CA",CA
16783,GA7,"Greensboro, GA",GA
13341,MKC,"Kansas City, MO",MO
10990,CHO,"Charlottesville, VA",VA
14785,SGH,"Springfield, OH",OH
12324,ILN,"Wilmington, OH",OH
10198,AGC,"Pittsburgh, PA",PA
13947,OSC,"Oscoda, MI",MI
11288,DEC,"Decatur, IL",IL
10685,BMI,"Bloomington/Normal, IL",IL
13398,MMU,"Morristown, NJ",NJ
15919,XNA,"Fayetteville, AR",AR
13290,MHK,"Manhattan/Ft. Riley, KS",KS
15074,SWO,"Stillwater, OK",OK
10558,BFF,"Scottsbluff, NE",NE
14004,PAE,"Everett, WA",WA
12173,HNL,"Honolulu, HI",HI
14695,SBM,"Sheboygan, WI",WI
13832,OGS,"Ogdensburg, NY",NY
11947,GMU,"Greenville, SC",SC
11637,FAR,"Fargo, ND",ND
15628,VRB,"Vero Beach, FL",FL
13987,OXC,"Waterbury, CT",CT
13964,OTH,"North Bend/Coos Bay, OR",OR
14262,PSP,"Palm Springs, CA",CA
10666,BLI,"Bellingham, WA",WA
12574,TN8,"Nashville, TN",TN
11638,FAT,"Fresno, CA",CA
11337,DLH,"Duluth, MN",MN
12244,HVN,"New Haven, CT",CT
