OriginKey,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR
14736,SDM,"San Diego, CA",CA
14744,SDX,"Sedona, AZ",AZ
14892,SME,"Somerset, KY",KY
16363,FHB,"Fernandina Beach, FL",FL
13830,OGG,"Kahului, HI",HI
14712,SCF,"Phoenix, AZ",AZ
10519,BCT,"Boca Raton, FL",FL
12323,ILM,"Wilmington, NC",NC
11111,COU,"Columbia, MO",MO
12397,ITH,"Ithaca/Cortland, NY",NY
13360,MLB,"Melbourne, FL",FL
14785,SGH,"Springfield, OH",OH
10819,BWG,"Bowling Green, KY",KY
12265,IAG,"Niagara Falls, NY",NY
10431,AVL,"Asheville, NC",NC
10427,AUZ,"Aurora, IL",IL
13667,NGU,"Norfolk, VA",VA
12217,HSV,"Huntsville, AL",AL
11699,FLO,"Florence, SC",SC
15842,WRI,"Fort Dix, NJ",NJ
10298,ANB,"Anniston, AL",AL
15070,SWF,"Newburgh/Poughkeepsie, NY",NY
12131,HIF,"Ogden, UT",UT
13398,MMU,"Morristown, NJ",NJ
10666,BLI,"Bellingham, WA",WA
11947,GMU,"Greenville, SC",SC
12916,LCI,"Laconia, NH",NH
13987,OXC,"Waterbury, CT",CT
13486,MSO,"Missoula, MT",MT
12544,USA,"Concord, NC",NC
13476,MRY,"Monterey, CA",CA
15325,TRM,"Thermal, CA",CA
10857,C01,"Camarillo, CA",CA
15440,UES,"Waukesha, WI",WI
14262,PSP,"Palm Springs, CA",CA
12574,TN8,"Nashville, TN",TN
11337,DLH,"Duluth, MN",MN
13541,MVY,"Martha's Vineyard, MA",MA
12244,HVN,"New Haven, CT",CT
