PASSENGERS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,YEAR,QUARTER,MONTH
0.00,179.00,FX,Federal Express Corporation,12339,IND,"Indianapolis, IN",IN,12917,LCK,"Columbus, OH",OH,2019,1,3
0.00,179.00,FX,Federal Express Corporation,12339,IND,"Indianapolis, IN",IN,12917,LCK,"Columbus, OH",OH,2019,2,4
0.00,179.00,FX,Federal Express Corporation,12339,IND,"Indianapolis, IN",IN,12917,LCK,"Columbus, OH",OH,2019,2,5
0.00,179.00,FX,Federal Express Corporation,12339,IND,"Indianapolis, IN",IN,12917,LCK,"Columbus, OH",OH,2019,2,6
0.00,179.00,FX,Federal Express Corporation,12339,IND,"Indianapolis, IN",IN,12917,LCK,"Columbus, OH",OH,2019,3,7
0.00,179.00,FX,Federal Express Corporation,12339,IND,"Indianapolis, IN",IN,12917,LCK,"Columbus, OH",OH,2019,3,8
0.00,179.00,FX,Federal Express Corporation,12339,IND,"Indianapolis, IN",IN,12917,LCK,"Columbus, OH",OH,2019,4,11
0.00,179.00,FX,Federal Express Corporation,12339,IND,"Indianapolis, IN",IN,12917,LCK,"Columbus, OH",OH,2019,4,12
0.00,179.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,12339,IND,"Indianapolis, IN",IN,2019,1,1
0.00,179.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,12339,IND,"Indianapolis, IN",IN,2019,1,2
0.00,179.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,12339,IND,"Indianapolis, IN",IN,2019,1,3
0.00,179.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,12339,IND,"Indianapolis, IN",IN,2019,2,4
0.00,179.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,12339,IND,"Indianapolis, IN",IN,2019,2,5
0.00,179.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,12339,IND,"Indianapolis, IN",IN,2019,2,6
0.00,179.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,12339,IND,"Indianapolis, IN",IN,2019,3,7
0.00,179.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,12339,IND,"Indianapolis, IN",IN,2019,3,8
0.00,179.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,12339,IND,"Indianapolis, IN",IN,2019,4,11
0.00,179.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,12339,IND,"Indianapolis, IN",IN,2019,4,12
0.00,182.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11066,CMH,"Columbus, OH",OH,12339,IND,"Indianapolis, IN",IN,2019,4,12
0.00,182.00,27Q,"Jet Aviation Flight Services, Inc.",11066,CMH,"Columbus, OH",OH,12339,IND,"Indianapolis, IN",IN,2019,3,8
0.00,182.00,C5,CommuteAir LLC dba CommuteAir,12339,IND,"Indianapolis, IN",IN,11066,CMH,"Columbus, OH",OH,2019,4,12
0.00,182.00,GL,Miami Air International,12339,IND,"Indianapolis, IN",IN,11066,CMH,"Columbus, OH",OH,2019,2,6
0.00,182.00,UA,United Air Lines Inc.,11066,CMH,"Columbus, OH",OH,12339,IND,"Indianapolis, IN",IN,2019,3,7
