PASSENGERS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,YEAR,QUARTER,MONTH
0.00,142.00,AMQ,Ameristar Air Cargo,10874,CAK,"Akron, OH",OH,16091,YIP,"Detroit, MI",MI,2018,2,6
0.00,145.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11066,CMH,"Columbus, OH",OH,16133,YNG,"Youngstown/Warren, OH",OH,2018,4,11
0.00,145.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14122,PIT,"Pittsburgh, PA",PA,11066,CMH,"Columbus, OH",OH,2018,1,1
0.00,145.00,GL,Miami Air International,14122,PIT,"Pittsburgh, PA",PA,11066,CMH,"Columbus, OH",OH,2018,4,12
0.00,145.00,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,11066,CMH,"Columbus, OH",OH,14122,PIT,"Pittsburgh, PA",PA,2018,1,3
0.00,145.00,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,11066,CMH,"Columbus, OH",OH,14122,PIT,"Pittsburgh, PA",PA,2018,2,4
0.00,145.00,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,11066,CMH,"Columbus, OH",OH,14122,PIT,"Pittsburgh, PA",PA,2018,2,6
0.00,145.00,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,14122,PIT,"Pittsburgh, PA",PA,11066,CMH,"Columbus, OH",OH,2018,1,2
0.00,145.00,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,14122,PIT,"Pittsburgh, PA",PA,11066,CMH,"Columbus, OH",OH,2018,1,3
0.00,145.00,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,14122,PIT,"Pittsburgh, PA",PA,11066,CMH,"Columbus, OH",OH,2018,2,4
0.00,145.00,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,14122,PIT,"Pittsburgh, PA",PA,11066,CMH,"Columbus, OH",OH,2018,2,6
0.00,150.00,5X,United Parcel Service,14122,PIT,"Pittsburgh, PA",PA,12917,LCK,"Columbus, OH",OH,2018,1,1
0.00,150.00,5X,United Parcel Service,14122,PIT,"Pittsburgh, PA",PA,12917,LCK,"Columbus, OH",OH,2018,1,2
0.00,150.00,5X,United Parcel Service,14122,PIT,"Pittsburgh, PA",PA,12917,LCK,"Columbus, OH",OH,2018,1,3
0.00,150.00,5X,United Parcel Service,14122,PIT,"Pittsburgh, PA",PA,12917,LCK,"Columbus, OH",OH,2018,2,4
0.00,153.00,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",16133,YNG,"Youngstown/Warren, OH",OH,10792,BUF,"Buffalo, NY",NY,2018,2,4
0.00,155.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11066,CMH,"Columbus, OH",OH,11433,DTW,"Detroit, MI",MI,2018,1,2
0.00,155.00,GL,Miami Air International,11066,CMH,"Columbus, OH",OH,11433,DTW,"Detroit, MI",MI,2018,1,2
0.00,155.00,WN,Southwest Airlines Co.,11066,CMH,"Columbus, OH",OH,11433,DTW,"Detroit, MI",MI,2018,4,12
0.00,158.00,AMQ,Ameristar Air Cargo,11066,CMH,"Columbus, OH",OH,16091,YIP,"Detroit, MI",MI,2018,1,1
0.00,158.00,AMQ,Ameristar Air Cargo,11066,CMH,"Columbus, OH",OH,16091,YIP,"Detroit, MI",MI,2018,1,3
0.00,158.00,AMQ,Ameristar Air Cargo,11066,CMH,"Columbus, OH",OH,16091,YIP,"Detroit, MI",MI,2018,4,10
0.00,158.00,AMQ,Ameristar Air Cargo,16091,YIP,"Detroit, MI",MI,11066,CMH,"Columbus, OH",OH,2018,1,1
0.00,158.00,AMQ,Ameristar Air Cargo,16091,YIP,"Detroit, MI",MI,11066,CMH,"Columbus, OH",OH,2018,1,3
0.00,158.00,AMQ,Ameristar Air Cargo,16091,YIP,"Detroit, MI",MI,11066,CMH,"Columbus, OH",OH,2018,2,6
0.00,158.00,U7,USA Jet Airlines Inc.,11066,CMH,"Columbus, OH",OH,16091,YIP,"Detroit, MI",MI,2018,3,7
0.00,158.00,U7,USA Jet Airlines Inc.,16091,YIP,"Detroit, MI",MI,11066,CMH,"Columbus, OH",OH,2018,3,7
0.00,164.00,GL,Miami Air International,11066,CMH,"Columbus, OH",OH,12945,LEX,"Lexington, KY",KY,2018,1,2
0.00,165.00,AMQ,Ameristar Air Cargo,16091,YIP,"Detroit, MI",MI,11267,DAY,"Dayton, OH",OH,2018,1,1
0.00,165.00,U7,USA Jet Airlines Inc.,16091,YIP,"Detroit, MI",MI,11267,DAY,"Dayton, OH",OH,2018,3,7
0.00,166.00,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,14696,SBN,"South Bend, IN",IN,11267,DAY,"Dayton, OH",OH,2018,1,1
0.00,166.00,YV,Mesa Airlines Inc.,11267,DAY,"Dayton, OH",OH,11433,DTW,"Detroit, MI",MI,2018,3,7
0.00,167.00,FX,Federal Express Corporation,11433,DTW,"Detroit, MI",MI,12917,LCK,"Columbus, OH",OH,2018,1,1
0.00,167.00,FX,Federal Express Corporation,11433,DTW,"Detroit, MI",MI,12917,LCK,"Columbus, OH",OH,2018,1,2
0.00,167.00,FX,Federal Express Corporation,11433,DTW,"Detroit, MI",MI,12917,LCK,"Columbus, OH",OH,2018,1,3
0.00,167.00,FX,Federal Express Corporation,11433,DTW,"Detroit, MI",MI,12917,LCK,"Columbus, OH",OH,2018,2,4
0.00,167.00,FX,Federal Express Corporation,11433,DTW,"Detroit, MI",MI,12917,LCK,"Columbus, OH",OH,2018,2,5
0.00,167.00,FX,Federal Express Corporation,11433,DTW,"Detroit, MI",MI,12917,LCK,"Columbus, OH",OH,2018,2,6
0.00,167.00,FX,Federal Express Corporation,11433,DTW,"Detroit, MI",MI,12917,LCK,"Columbus, OH",OH,2018,3,7
0.00,167.00,FX,Federal Express Corporation,11433,DTW,"Detroit, MI",MI,12917,LCK,"Columbus, OH",OH,2018,3,8
0.00,167.00,FX,Federal Express Corporation,11433,DTW,"Detroit, MI",MI,12917,LCK,"Columbus, OH",OH,2018,3,9
0.00,167.00,FX,Federal Express Corporation,11433,DTW,"Detroit, MI",MI,12917,LCK,"Columbus, OH",OH,2018,4,10
0.00,167.00,FX,Federal Express Corporation,11433,DTW,"Detroit, MI",MI,12917,LCK,"Columbus, OH",OH,2018,4,11
0.00,167.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,11433,DTW,"Detroit, MI",MI,2018,2,5
0.00,167.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,11433,DTW,"Detroit, MI",MI,2018,3,9
0.00,167.00,KAQ,Kalitta Air LLC,11433,DTW,"Detroit, MI",MI,12917,LCK,"Columbus, OH",OH,2018,2,5
0.00,169.00,5X,United Parcel Service,11042,CLE,"Cleveland, OH",OH,12884,LAN,"Lansing, MI",MI,2018,3,9
0.00,170.00,FX,Federal Express Corporation,10654,BKW,"Beckley, WV",WV,12917,LCK,"Columbus, OH",OH,2018,3,9
0.00,179.00,FX,Federal Express Corporation,12339,IND,"Indianapolis, IN",IN,12917,LCK,"Columbus, OH",OH,2018,1,1
0.00,179.00,FX,Federal Express Corporation,12339,IND,"Indianapolis, IN",IN,12917,LCK,"Columbus, OH",OH,2018,1,2
0.00,179.00,FX,Federal Express Corporation,12339,IND,"Indianapolis, IN",IN,12917,LCK,"Columbus, OH",OH,2018,1,3
0.00,179.00,FX,Federal Express Corporation,12339,IND,"Indianapolis, IN",IN,12917,LCK,"Columbus, OH",OH,2018,2,4
0.00,179.00,FX,Federal Express Corporation,12339,IND,"Indianapolis, IN",IN,12917,LCK,"Columbus, OH",OH,2018,2,5
0.00,179.00,FX,Federal Express Corporation,12339,IND,"Indianapolis, IN",IN,12917,LCK,"Columbus, OH",OH,2018,2,6
0.00,179.00,FX,Federal Express Corporation,12339,IND,"Indianapolis, IN",IN,12917,LCK,"Columbus, OH",OH,2018,3,7
0.00,179.00,FX,Federal Express Corporation,12339,IND,"Indianapolis, IN",IN,12917,LCK,"Columbus, OH",OH,2018,3,8
0.00,179.00,FX,Federal Express Corporation,12339,IND,"Indianapolis, IN",IN,12917,LCK,"Columbus, OH",OH,2018,3,9
0.00,179.00,FX,Federal Express Corporation,12339,IND,"Indianapolis, IN",IN,12917,LCK,"Columbus, OH",OH,2018,4,10
0.00,179.00,FX,Federal Express Corporation,12339,IND,"Indianapolis, IN",IN,12917,LCK,"Columbus, OH",OH,2018,4,11
0.00,179.00,FX,Federal Express Corporation,12339,IND,"Indianapolis, IN",IN,12917,LCK,"Columbus, OH",OH,2018,4,12
0.00,179.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,12339,IND,"Indianapolis, IN",IN,2018,1,1
0.00,179.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,12339,IND,"Indianapolis, IN",IN,2018,1,2
0.00,179.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,12339,IND,"Indianapolis, IN",IN,2018,1,3
